code;source;code_list_code;display_value;long_description;from_date;to_date;sorting_priority
1;TCP supply-chains;generating XSS Paradigm;regional web-enabled;FTP;Estate Direct Luxembourg;solutions transmitting seize;60692
2;Soft Borders;hacking Borders SSL;USB invoice;SQL multi-tasking;Cotton;Berkshire bricks-and-clicks;83169
3;Steel methodical copying;Directives;pixel;Supervisor system;mobile Chips Polarised;Forint;58747
4;Expanded;Direct Utah Maine;Tools architectures Berkshire;Health EXE Supervisor;Greece Beauty Car;Handcrafted Soft Shirt;60803
5;Rubber SCSI Rubber;Bacon Corporate;Representative Research;Table;maximize Common Assistant;Checking Computer Romania;41551
6;Tasty Pants;Assimilated Future synthesizing;markets;copy mission-critical Ergonomic;system-worthy Shirt;Cyprus extend;45787
7;24/7 USB payment;COM Games innovate;Brand;firmware bluetooth Supervisor;hack Isle;Bedfordshire e-commerce Sweden;5668
8;Pine;Wisconsin monitor transmitter;microchip;tangible Direct database;experiences Small niches;content Points Belgium;88360
9;Gloves Concrete;portals;Iraqi Belarussian expedite;Pizza Circles;index Missouri;exploit International;55386
10;tangible online Tasty;Views;South mission-critical;payment ability;Villages Georgia;dynamic Tuna;80339
